分类	星级	待确认	年份	标题	期刊	被引	DOI	原文件	理由
01-能量调度	**	⚠️	2025	Electric vehicle charging infrastructure planning with integrated energy management and parking behavior analysis	Sustainable Energy, Grids and Networks	5	10.1016/j.segan.2025.101990	Electric-vehicle-charging-infrastructure-planning-wit_2025_Sustainable-Energ.pdf	关键词命中：energy management（⚠️ 同时含规划类词，请人工确认归属）
01-能量调度	**	⚠️	2025	A review of intelligent control strategies for energy management systems in microgrids	Energy Conversion and Management: X	9	10.1016/j.ecmx.2025.101323	A-review-of-intelligent-control-strategies-for-ene_2025_Energy-Conversion-an.pdf	关键词命中：energy management（⚠️ 同时含规划类词，请人工确认归属）
01-能量调度	***		2025	Low carbon planning of flexible distribution network considering orderly charging and discharging of EV	Electric Power Systems Research	3	10.1016/j.epsr.2025.111546	Low-carbon-planning-of-flexible-distribution-network-c_2025_Electric-Power-S.pdf	配电网有序充放电，低碳灵活规划
01-能量调度	***		2025	Risk-based data-driven energy management for integrated electrical and hydrogen microgrids with improved hydrogen vehicle charging prediction	Applied Energy	12	10.1016/j.apenergy.2025.126410	Risk-based-data-driven-energy-management-for-integrated-electric_2025_Applie.pdf	电氢微网风险型数据驱动能量管理
01-能量调度	***		2025	Optimal day-ahead scheduling and reconfiguration of active distribution systems considering energy hubs, residential demand response aggregators, and electric vehicle parking lot aggregators	Computers and Electrical Engineering	10	10.1016/j.compeleceng.2025.110227	Optimal-day-ahead-scheduling-and-reconfiguration-of-active-_2025_Computers-a.pdf	主动配电网日前调度+重构，含EV停车场聚合商
01-能量调度	***		2025	Joint operation of a fast-charging EV hub with a stand-alone independent battery storage system under fairness considerations	Energy	4	10.1016/j.energy.2025.136720	Joint-operation-of-a-fast-charging-EV-hub-with-a-stand-alone-indepe_2025_Ene.pdf	快充枢纽与独立储能的联合运行，含公平性
01-能量调度	***		2025	Coordinated energy management for EH with responsive demands considering hydrogen storage and PEV preheating in cold climates	Energy Conversion and Management	7	10.1016/j.enconman.2025.120046	Coordinated-energy-management-for-EH-with-responsive-dem_2025_Energy-Convers.pdf	能量枢纽协同管理，含储氢与PEV预热的响应需求
01-能量调度	***		2025	A flexible frequency control strategy for airport-microgrid through vehicle-to-grid and aviation-to-grid	Journal of Energy Storage	12	10.1016/j.est.2025.116980	A-flexible-frequency-control-strategy-for-airport-microgr_2025_Journal-of-En.pdf	机场微网调频策略，V2G与航空器并网
01-能量调度	***		2025	Energy management strategies for grid-integrated photovoltaic and battery energy storage systems-enhanced electric vehicle charging stations: Classical approaches and neural network solutions	Sustainable Energy, Grids and Networks	4	10.1016/j.segan.2025.101926	Energy-management-strategies-for-grid-integrated-photovolta_2025_Sustainable.pdf	光伏+储能充电站的能量管理策略，含神经网络解法
01-能量调度	***		2024	Day-ahead optimization for smart energy management of multi-microgrid using a stochastic-robust model	Energy	10	10.1016/j.energy.2024.133840	Day-ahead-optimization-for-smart-energy-management-of-multi-microgr_2024_Ene.pdf	多微网日前优化，随机-鲁棒模型
01-能量调度	***		2024	Eco-environmental regret-aware optimization of networked multi-energy microgrids with fully carbon elimination and electric vehicles' promotion	Sustainable Cities and Society	6	10.1016/j.scs.2024.105807	Eco-environmental-regret-aware-optimization-of-networked-m_2024_Sustainable-.pdf	互联多能微网后悔感知优化，全碳消除
01-能量调度	***		2023	Energy management for solar-hydrogen microgrids with vehicle-to-grid and power-to-gas transactions	International Journal of Hydrogen Energy	83	10.1016/j.ijhydene.2022.09.238	Energy-management-for-solar-hydrogen-microgrids-wi_2023_International-Journa.pdf	光-氢微网能量管理，V2G与电转气交易（被引83）
01-能量调度	***		2022	Spatial–temporal optimal dispatch of mobile energy storage for emergency power supply	Energy Reports	22	10.1016/j.egyr.2021.11.200	1-s2.0-S2352484721013494-main.pdf	移动储能的时空最优调度，应急供电
01-能量调度	**		2026	The role of unidirectional charging flexibility in the planning and operation of the future Swiss electricity system	Applied Energy	5	10.1016/j.apenergy.2025.127078	The-role-of-unidirectional-charging-flexibility-in-the-planning_2026_Applied.pdf	单向充电灵活性在规划与运行中的作用（瑞士）
01-能量调度	**		2025	Enhancing solar energy generation utilization along highways: optimizing electric vehicle charging-swapping schemes and scheduling mobile energy storage systems	Applied Energy	11	10.1016/j.apenergy.2025.126389	Enhancing-solar-energy-generation-utilization-along-highways--opt_2025_Appli.pdf	关键词命中：scheduling
01-能量调度	**		2025	Energy management for microgrids integrating renewable sources and hybrid electric vehicles	Case Studies in Thermal Engineering	19	10.1016/j.csite.2025.105937	Energy-management-for-microgrids-integrating-renewa_2025_Case-Studies-in-The.pdf	含可再生能源与混动车的微网能量管理
01-能量调度	**		2025	Optimizing expressway battery electric vehicle charging and mobile storage energy truck scheduling: A two-stage approach to improve photovoltaic generation utilization	Energy	17	10.1016/j.energy.2025.135145	Optimizing-expressway-battery-electric-vehicle-charging-and-mobile-s_2025_En.pdf	关键词命中：scheduling
01-能量调度	**		2025	Innovative approaches to microgrid resilience: Leveraging EVs for energy management	Journal of Cleaner Production	4	10.1016/j.jclepro.2024.144633	Innovative-approaches-to-microgrid-resilience--Lever_2025_Journal-of-Cleaner.pdf	利用EV提升微网韧性的能量管理
01-能量调度	**		2025	Optimized multi-objective energy management strategy for solar-fuel cell hybrid electric vehicles using RSM and SFOA	Results in Engineering	7	10.1016/j.rineng.2025.107106	Optimized-multi-objective-energy-management-strategy-for-so_2025_Results-in-.pdf	太阳能-燃料电池混动车多目标能量管理
01-能量调度	**		2022	Multi-objective optimization of hybrid energy management system for expressway chargers	Journal of Energy Storage	10	10.1016/j.est.2022.105233	Multi-objective-optimization-of-hybrid-energy-managemen_2022_Journal-of-Ener.pdf	关键词命中：energy management
01-能量调度	**		2011	Energy management in metro-transit systems: An innovative proposal toward an integrated and sustainable urban mobility system including plug-in electric vehicles	Electric Power Systems Research	93	10.1016/j.epsr.2011.08.004	Energy-management-in-metro-transit-systems--An-innovative-p_2011_Electric-Po.pdf	地铁交通系统能量管理（经典，被引93）
02-交通流分配	**	⚠️	2025	Low-carbon routing and charging planning for electric freight trucks utilizing local surplus solar power	Journal of Energy Storage	8	10.1016/j.est.2025.117626	Low-carbon-routing-and-charging-planning-for-electric-fre_2025_Journal-of-En.pdf	关键词命中：routing（⚠️ 同时含规划类词，请人工确认归属）
02-交通流分配	***		2025	Data-driven, personalized route planning for connected electric vehicles: Optimizing time, energy, and charging stops	Applied Energy	8	10.1016/j.apenergy.2025.126887	Data-driven--personalized-route-planning-for-connected-electric_2025_Applied.pdf	网联车个性化路径规划，时间/能量/充电停靠联合优化
02-交通流分配	***		2025	Joint optimization of fleet sizing, charging station planning, and operation for autonomous electric vehicle fleets in urban transportation networks	Sustainable Energy, Grids and Networks	5	10.1016/j.segan.2025.101946	Joint-optimization-of-fleet-sizing--charging-station-pla_2025_Sustainable-En.pdf	车队规模/充电站/运行联合优化，城市交通网
02-交通流分配	***		2025	The dynamic online bilateral path planning algorithm based-on Stackelberg game for electric vehicles with charging induction strategy	Sustainable Energy, Grids and Networks	1	10.1016/j.segan.2025.101952	The-dynamic-online-bilateral-path-planning-algorithm-ba_2025_Sustainable-Ene.pdf	Stackelberg 博弈的动态在线双边路径规划+充电诱导
02-交通流分配	***		2025	Robust planning for electric vehicle charging stations under congestion	Transportation Research Part B: Methodological	11	10.1016/j.trb.2025.103291	Robust-planning-for-electric-vehicle-chargi_2025_Transportation-Research-Par.pdf	拥堵条件下的鲁棒规划 ← TR-B 方法论文
02-交通流分配	***		2025	Urban public charging infrastructure planning for electric vehicles: A continuum approximation approach	Transportation Research Part D: Transport and Environment	16	10.1016/j.trd.2025.104605	Urban-public-charging-infrastructure-planning-_2025_Transportation-Research-.pdf	连续近似法做城市公共充电设施规划 ← 交通流建模经典范式
02-交通流分配	***		2025	A review on transport and power systems planning-operation integrating electric vehicles, energy storage, and other distributed energy resources	Journal of Energy Storage	21	10.1016/j.est.2025.118419	A-review-on-transport-and-power-systems-planning-operation-i_2025_Journal-of.pdf	交通-电力系统规划运行综述 ← 建立领域框架，建议最先读
